Model: codellama/CodeLlama-7b-hf
Dimension: care
Timestamp: 2025-01-19

Moral Neurons:

Immoral Neurons:

Neuron Consistency:

Layer Importance:
(31, 0.04416454955935478)
(30, 0.036720387637615204)
(29, 0.027993636205792427)
(28, 0.025828110054135323)
(27, 0.023873958736658096)
(26, 0.02253144606947899)
(22, 0.022224675863981247)
(23, 0.022122349590063095)
(24, 0.021864810958504677)
(20, 0.021849723532795906)
(25, 0.02177099697291851)
(21, 0.02151978388428688)
(19, 0.020807702094316483)
(18, 0.020155804231762886)
(17, 0.018538637086749077)
(16, 0.017540916800498962)
(15, 0.01472697127610445)
(14, 0.013106366619467735)
(13, 0.0118945874273777)
(12, 0.010544474236667156)
(11, 0.009852886199951172)
(10, 0.00924890860915184)
(9, 0.00842834822833538)
(8, 0.007812727242708206)
(7, 0.007053801324218512)
(6, 0.005865615792572498)
(5, 0.005140953231602907)
(4, 0.004213233012706041)
(1, 0.004112341906875372)
(3, 0.002782124327495694)
(2, 0.0016181259416043758)
(0, 0.0005453867488540709)

Key Trigger Points:
(14, 0.02425522543489933)
(13, 0.024065840989351273)
(12, 0.023850547149777412)
(10, 0.02379511669278145)
(8, 0.023363329470157623)
