Model: codellama/CodeLlama-7b-hf
Dimension: fairness
Timestamp: 2025-01-19

Moral Neurons:

Immoral Neurons:

Neuron Consistency:

Layer Importance:
(31, 0.04027542844414711)
(30, 0.034438613802194595)
(29, 0.025806011632084846)
(28, 0.023766115307807922)
(27, 0.021785175427794456)
(26, 0.020626770332455635)
(22, 0.020271485671401024)
(23, 0.020181773230433464)
(25, 0.020053314045071602)
(24, 0.02001778595149517)
(20, 0.01983756758272648)
(21, 0.019590262323617935)
(19, 0.018883761018514633)
(18, 0.018222635611891747)
(17, 0.016679685562849045)
(16, 0.015598258003592491)
(15, 0.013346287421882153)
(14, 0.011710664257407188)
(13, 0.010600977577269077)
(12, 0.009580936282873154)
(11, 0.008957445621490479)
(10, 0.008378811180591583)
(9, 0.0077433716505765915)
(8, 0.007054490502923727)
(7, 0.006387579720467329)
(6, 0.0053611439652740955)
(5, 0.004670590627938509)
(1, 0.004548647440969944)
(4, 0.003902292577549815)
(3, 0.0026313462294638157)
(2, 0.001551043358631432)
(0, 0.0004879216430708766)

Key Trigger Points:
(5, 0.02134626731276512)
(10, 0.021309074014425278)
(9, 0.021099677309393883)
(6, 0.021096348762512207)
(11, 0.021068114787340164)
