Model: google/gemma-2-9b-it
Dimension: fairness
Timestamp: 2025-01-21

Precision: None
Moral Neurons:

Immoral Neurons:

Neuron Consistency:

Layer Importance:
(0, 0.014857660979032516)
(2, 0.014363976195454597)
(5, 0.014131694100797176)
(3, 0.013175628148019314)
(9, 0.012879905290901661)
(6, 0.012831396423280239)
(1, 0.0125417560338974)
(7, 0.01250025350600481)
(8, 0.012478772550821304)
(4, 0.012315998785197735)
(10, 0.010800853371620178)
(11, 0.008982377126812935)
(12, 0.008760910481214523)
(13, 0.008297298103570938)
(31, 0.008130429312586784)
(29, 0.007783912122249603)
(30, 0.007740585133433342)
(33, 0.007732864003628492)
(32, 0.0076981778256595135)
(34, 0.007298682816326618)
(14, 0.00701120775192976)
(28, 0.0068169087171554565)
(35, 0.006589977070689201)
(39, 0.006362870801240206)
(38, 0.006231223698705435)
(18, 0.006209402345120907)
(36, 0.006143616512417793)
(37, 0.006122734863311052)
(27, 0.00544730806723237)
(15, 0.005381262395530939)
(40, 0.005354839377105236)
(19, 0.005012532230466604)
(17, 0.004903185181319714)
(21, 0.004662282299250364)
(16, 0.004339654929935932)
(26, 0.004165590740740299)
(24, 0.003919495735317469)
(25, 0.0039025768637657166)
(22, 0.0038825045339763165)
(23, 0.003867911407724023)
(20, 0.0038360250182449818)
(41, 0.0018044906901195645)

Key Trigger Points:
(2, 0.012835890054702759)
(5, 0.01274589728564024)
(3, 0.012729652225971222)
(4, 0.01240286510437727)
(6, 0.012110527604818344)
