Model: google/gemma-2-9b-it
Dimension: loyalty
Timestamp: 2025-01-22

Precision: None
Moral Neurons:

Immoral Neurons:

Neuron Consistency:

Layer Importance:
(0, 0.01579459011554718)
(5, 0.015766575932502747)
(2, 0.01556575857102871)
(6, 0.01434257347136736)
(3, 0.014278050512075424)
(7, 0.013945621438324451)
(9, 0.013834401033818722)
(4, 0.01360973808914423)
(8, 0.013594460673630238)
(1, 0.013389984145760536)
(10, 0.011523459106683731)
(11, 0.009644840843975544)
(12, 0.00947458203881979)
(13, 0.008897042833268642)
(31, 0.008873826824128628)
(30, 0.008517802692949772)
(29, 0.008485924452543259)
(32, 0.008406146429479122)
(33, 0.008364873006939888)
(34, 0.00799368042498827)
(14, 0.007527530193328857)
(28, 0.007435561623424292)
(35, 0.007136073429137468)
(39, 0.00697376299649477)
(38, 0.0068887146189808846)
(36, 0.00678560696542263)
(37, 0.006710456218570471)
(18, 0.006532770115882158)
(27, 0.005959560628980398)
(40, 0.005790114402770996)
(15, 0.005744025111198425)
(19, 0.005238067824393511)
(17, 0.005185283254832029)
(21, 0.0048973835073411465)
(16, 0.004662653431296349)
(26, 0.0045711626298725605)
(25, 0.004301511216908693)
(24, 0.0042977239936590195)
(23, 0.004266882780939341)
(22, 0.004141672980040312)
(20, 0.00404510460793972)
(41, 0.0019322533626109362)

Key Trigger Points:
(11, 0.013056921772658825)
(2, 0.013031966984272003)
(5, 0.012812929227948189)
(3, 0.012693679891526699)
(10, 0.012626034207642078)
