Model: meta-llama/Llama-3.2-3B-Instruct
Dimension: fairness
Timestamp: 2025-01-19

Precision: None
Moral Neurons:

Immoral Neurons:

Neuron Consistency:

Layer Importance:
(27, 0.02525409683585167)
(26, 0.015659388154745102)
(25, 0.01353980228304863)
(24, 0.011517655104398727)
(23, 0.01044111791998148)
(19, 0.009972120635211468)
(22, 0.00955567043274641)
(20, 0.009361306205391884)
(18, 0.009244917891919613)
(21, 0.009224520064890385)
(15, 0.009207693859934807)
(17, 0.00891869980841875)
(16, 0.008877973072230816)
(14, 0.008827402256429195)
(13, 0.007801199331879616)
(12, 0.007315581664443016)
(11, 0.007128272205591202)
(10, 0.00668402761220932)
(9, 0.006680034101009369)
(8, 0.006559675093740225)
(7, 0.0062838089652359486)
(6, 0.005937802605330944)
(5, 0.00523304333910346)
(4, 0.004676118027418852)
(3, 0.003746071830391884)
(2, 0.002676263451576233)
(1, 0.0018329585436731577)
(0, 0.001510766102001071)

Key Trigger Points:
(9, 0.011704639531672001)
(8, 0.011652139946818352)
(4, 0.01165042445063591)
(5, 0.011576799675822258)
(10, 0.011483446694910526)
