Layer,Neuron,Description,Score,Revision_Score,Top_Activating_Tokens
7,5276,"Based on the provided examples, neuron 5276 in layer 7 appears to activate in response to tokens that are part of a linguistic pattern associated with normative or prescriptive language—essentially, language related to rules, obligations, or standards that should be followed or respected. Here's a breakdown of the pattern and context:",0.9722442626953125,"{'original_top': 0.7892051935195923, 'revised_top': 0.0, 'original_random': 0.0, 'revised_random': 0.0}", should (2.114) |  should (1.899) |  should (1.717) |  should (1.287) |  following (0.931)
8,755,"This neuron (layer 8, index 755) appears to be primarily responsive to tokens that are directly involved in expressions of trust, respect, or compassion in interpersonal or ethical contexts. Let's break down the pattern based on the examples provided:",0.9056267142295837,"{'original_top': 0.4564354419708252, 'revised_top': 1.0, 'original_random': 0.0, 'revised_random': 0.0}", is (0.148) |  partners (0.145) |  religious (0.137) |  religious (0.137) |  listening (0.130)
11,2295,"This neuron appears to be highly responsive to terms that are semantically linked to the protection, welfare, and rights of individuals or groups, often in the context of societal or communal responsibilities. The activation pattern suggests a focus on specific keywords associated with ensuring safety, health, and inclusivity.",0.8753478527069092,"{'original_top': -0.09090908616781235, 'revised_top': -0.25482359528541565, 'original_random': 0.0, 'revised_random': 0.0}", health (0.290) |  security (0.284) |  testing (0.257) |  well (0.245) |  disabilities (0.215)
12,1164,"The neuron in question (layer 12, index 1164) appears to be particularly sensitive to tokens related to formal structures or entities related to authority, decision-making, and organized governance. Here is a breakdown of the observed activation patterns:",0.851253867149353,"{'original_top': -0.2182178944349289, 'revised_top': 0.5049193501472473, 'original_random': 0.0, 'revised_random': 0.0}", corporate (0.212) |  owners (0.207) |  of (0.204) |  committee (0.191) |  court (0.184)
12,1984,"This neuron, located at layer 12, index 1984, appears to be responsive to tokens that signal conditions, structures, or actions that are often associated with rules, stipulations, or necessities within a context. Let's analyze each example and piece together the pattern:",0.8597387671470642,"{'original_top': 0.2417469024658203, 'revised_top': 0.9097176194190979, 'original_random': 0.0, 'revised_random': 0.0}", be (0.134) |  order (0.112) |  discipline (0.111) |  if (0.108) |  giving (0.106)
13,13425,"The neuron at layer 13, index 13425, appears to activate strongly in response to tokens that convey concepts or actions related to protection, care, and preservation within positive or duty-bound contexts. ",0.7504337430000305,"{'original_top': 0.0, 'revised_top': 0.0, 'original_random': 0.0, 'revised_random': 0.0}", protect (0.139) |  care (0.136) |  fundamental (0.133) |  preserves (0.129) |  the (0.127)
14,303,"This neuron's activations seem to suggest it is detecting a pattern related to concepts about fairness, unity, and social cohesion. Let's break down each example to understand more about what the neuron is responding to:",0.962651789188385,"{'original_top': 0.15724271535873413, 'revised_top': -0.434958815574646, 'original_random': 0.0, 'revised_random': 0.0}",", (0.175) |  friendly (0.151) |  and (0.150) |  one (0.135) |  equitable (0.133)"
14,1718,"This neuron (layer 14, index 1718) responds to specific patterns that involve punctuation or non-standard token sequences, often in contexts where a transition or separation is implicitly indicated. Let's break down the activation triggers:",0.7094748020172119,"{'original_top': 0.6144921779632568, 'revised_top': 0.0, 'original_random': 0.0, 'revised_random': -0.2500000298023224}", of (0.131) | ’ (0.083) |  silence (0.074) | ph (0.057) | ph (0.057)
14,2047,"The neuron in layer 14, index 2047 appears to be responsive to concepts that relate to meaningful or impactful human actions, particularly those emphasizing assistance, loyalty, and the display of positive human qualities within a moral or altruistic context. Here’s an analysis of the activation pattern based on the provided examples:",0.9625953435897827,"{'original_top': 0.6865994334220886, 'revised_top': 0.3125593364238739, 'original_random': 0.0, 'revised_random': 0.0}", to (0.471) |  stranger (0.376) |  act (0.360) |  expertise (0.344) |  but (0.288)
14,10231,"Based on the provided examples, neuron 10231 in layer 14 appears to respond to linguistic patterns related to ideas of fairness, inclusivity, and compliance with societal norms or expectations. Let's break down the observed patterns:",0.785677433013916,"{'original_top': 0.5222329497337341, 'revised_top': 0.1827140599489212, 'original_random': 0.0, 'revised_random': 0.0}", one (0.290) |  lawful (0.159) |  a (0.148) |  when (0.131) |  children (0.130)
16,4420,"The neuron at layer 16, index 4420 appears to detect tokens related to social constructs or concepts signifying roles, values, or qualities within a societal or organizational framework. Here's a breakdown of its activation pattern:",0.8769771456718445,"{'original_top': -0.13927149772644043, 'revised_top': -0.6985353827476501, 'original_random': 0.0, 'revised_random': 0.0}", social (0.110) |  brand (0.107) |  liberated (0.105) |  rank (0.105) |  loyalty (0.103)
16,6638,"The neuron in question (layer 16, index 6638) appears to be highly responsive to linguistic structures that involve a list or enumeration pattern within a sentence. This pattern often includes:",0.5825697779655457,"{'original_top': -0.6937915682792664, 'revised_top': 0.1336306482553482, 'original_random': 0.0, 'revised_random': 0.0}"," communal (0.097) | , (0.085) |  or (0.084) | , (0.077) |  or (0.077)"
17,10981,"This neuron appears to be detecting tokens related to themes of empathy, support, and positive social interaction within emotionally supportive contexts. Here's a breakdown of the pattern it responds to:",0.9437270164489746,"{'original_top': -0.3202563226222992, 'revised_top': -0.11973683536052704, 'original_random': 0.0, 'revised_random': 0.0}",’ (0.387) |  with (0.369) |  support (0.283) |  kindly (0.281) |  a (0.258)
17,11326,"Based on the examples provided, neuron 11326 in layer 17 appears to be responsive to tokens and contexts that convey the concept of exemplifying or signifying a particular quality or value through specific actions or attributes. The neuron activates in contexts where the notion of demonstrating, signifying, or emphasizing a moral, ethical, or societal value is present. Here's a detailed analysis of the patterns:",0.9490342140197754,"{'original_top': 0.5144957900047302, 'revised_top': 0.3535533547401428, 'original_random': 0.0, 'revised_random': 0.0}", demonstrates (0.106) |  to (0.097) |  a (0.097) |  loyalty (0.097) |  safety (0.096)
18,154,"This neuron (layer 18, index 154) appears to activate in response to linguistic patterns that emphasize maintaining order, decorum, or community integrity. The underlying theme across the examples suggests that the neuron is sensitive to language that pertains to social norms or practices which uphold collective harmony or structure.",0.6811764240264893,"{'original_top': -0.5345224738121033, 'revised_top': 0.2941741645336151, 'original_random': 0.0, 'revised_random': -0.37998032569885254}", rules (0.159) |  or (0.130) |  sense (0.124) |  collective (0.122) |  formal (0.121)
