Layer,Neuron,Description,Score,Revision_Score,Top_Activating_Tokens
0,9462,"The neuron at layer 0, index 9462 appears to exhibit high activation in contexts that reflect ethical or moral assertions, rules, or principles. The examples show activation with the <bos> (beginning of sentence) token when followed by language suggesting norms, duties, or values. Here's the breakdown of how this pattern triggers the neuron:",0.0,"{'original_top': 0.0, 'revised_top': 0.0, 'original_random': 0.0, 'revised_random': 0.0}",<bos> (0.069) | <bos> (0.069) | <bos> (0.069) | <bos> (0.069) | <bos> (0.069)
3,8284,"The neuron in question (layer 3, index 8284) seems to be responsive to tokens that are semantically associated with social responsibility, protection, and relational concepts within a context. Let's break down the activation pattern based on the provided examples:",0.7343528270721436,"{'original_top': 0.0, 'revised_top': -0.1767767071723938, 'original_random': 0.0, 'revised_random': 0.0}",Adults (0.253) | olds (0.248) |  bonds (0.245) |  promises (0.224) |  vulnerable (0.214)
4,3897,"This neuron in Layer 4, index 3897, appears to respond to tokens associated with the expression or support of personal or collective autonomy and identity. Here's the analysis based on the highest activations:",0.9598163962364197,"{'original_top': 0.0, 'revised_top': 0.23028311133384705, 'original_random': 0.0, 'revised_random': 0.0}", freely (0.143) | term (0.130) |  information (0.125) |  freedom (0.113) |  colors (0.113)
4,11288,"The neuron in question (layer 4, index 11288) appears to respond strongly to the presence of the prefix ""Dis-"" in the context of verbs, as well as similar morphemic patterns in other contexts, with some variation in activation strength depending on surrounding linguistic structures.",0.8391680121421814,"{'original_top': 0.772683322429657, 'revised_top': 0.695608377456665, 'original_random': 0.0, 'revised_random': 0.0}",Dist (1.048) | Dist (1.048) | Dist (1.048) | Ad (0.919) | fer (0.910)
4,13490,This neuron appears to respond to linguistic patterns involving social relationships and supportive actions. Let's break down each of the examples to understand the neuron’s activation:,0.9604167938232422,"{'original_top': 0.7399401068687439, 'revised_top': 0.7276068925857544, 'original_random': 0.0, 'revised_random': 0.0}", your (1.109) |  fellow (1.003) |  colleague (0.869) | . (0.766) |  who (0.714)
5,10109,"The neuron in question (layer 5, index 10109) appears to activate strongly in response to the `<bos>` token, which stands for ""beginning of sentence."" The analysis of the given examples suggests that this neuron is particularly attuned to identifying specific action-oriented contexts or initiatives right at the start of sentences. Below is a breakdown of the activation pattern:",0.0,"{'original_top': 0.0, 'revised_top': 0.0, 'original_random': 0.0, 'revised_random': 0.0}",<bos> (0.014) | <bos> (0.014) | <bos> (0.014) | <bos> (0.014) | <bos> (0.014)
6,3167,"The pattern of activation for neuron (layer 6, index 3167) highlights its sensitivity to concepts related to respect, reverence, or preservation, particularly when these are connected with abstract or institutional entities. Here's a detailed breakdown of the activation pattern:",0.7683478593826294,"{'original_top': 0.0, 'revised_top': -0.42915090918540955, 'original_random': 0.0, 'revised_random': 0.0}",ying (0.003) |  damage (0.002) |  topics (0.002) |  budgeting (0.002) |  figures (0.002)
6,4594,"The neuron at layer 6, index 4594 appears to detect linguistic patterns related to balanced or inclusive concepts, focusing on tokens that indicate inclusion, alternative possibilities, or loyalty within a broader social or moral context. Here's the breakdown:",0.6831621527671814,"{'original_top': 0.3310423493385315, 'revised_top': 0.4236592948436737, 'original_random': 0.0, 'revised_random': 0.0}", others (0.466) |  like (0.384) |  shows (0.316) |  none (0.281) |  in (0.270)
6,9738,"The neuron in question appears to activate in response to tokens situated within contexts that suggest formal, structured, or societal settings or actions. Let's break down the patterns for each example and identify the common thread that causes the activations:",0.6416659951210022,"{'original_top': 0.5659165382385254, 'revised_top': 0.3409971296787262, 'original_random': 0.0, 'revised_random': 0.0}", work (4.315) |  security (1.750) |  at (0.310) |  official (0.112) |  or (0.101)
6,13753,"The neuron in question (layer 6, index 13753) seems to be responding primarily to contextual patterns involving certain linguistic structures rather than specific semantic content. Let's break down the observed activations:",0.0,"{'original_top': 0.0, 'revised_top': 0.0, 'original_random': 0.0, 'revised_random': 0.0}", see (-0.000) |  of (-0.001) |  a (-0.001) |  find (-0.001) |  of (-0.001)
7,14206,"This neuron (layer 7, index 14206) appears to respond strongly to linguistic patterns associated with the concept of ""respect"" and its related forms, often within a specific grammatical or contextual construction. Based on the provided examples, there are a few distinct patterns that seem to trigger its activation:",0.9647852778434753,"{'original_top': -0.875, 'revised_top': -0.7905694246292114, 'original_random': 0.0, 'revised_random': 0.0}", respect (0.414) |  respects (0.371) | ing (0.369) | ing (0.369) | ing (0.369)
8,284,"This neuron (layer 8, index 284) appears to activate in response to certain nouns and concepts associated with upholding or adhering to principles, structure, or authority. Let's analyze each example to identify the exact pattern responsible for triggering this neuron's activation:",0.8722870349884033,"{'original_top': -0.366899698972702, 'revised_top': -0.6153846383094788, 'original_random': 0.0, 'revised_random': 0.0}", justified (0.257) |  own (0.227) |  discipline (0.210) |  texts (0.197) |  meeting (0.188)
8,2315,"The neuron in layer 8, index 2315, seems to be responding to linguistic patterns associated with commitment, support, and maintenance of standards or relationships. Let's break down the pattern:",0.5949700474739075,"{'original_top': 0.5963303446769714, 'revised_top': 0.7559289932250977, 'original_random': 0.0, 'revised_random': 0.0}", to (0.878) | s (0.236) | olds (0.230) |  who (0.218) |  in (0.215)
8,4681,"The neuron in question (layer 8, index 4681) appears to detect a pattern involving linguistic elements that pertain to continuations, repetitions, or connectors in the sentence, often around concepts of adherence, return, separation, and sacredness. Let's break down the specific patterns and contexts from the given examples:",0.9513890743255615,"{'original_top': 0.8242407441139221, 'revised_top': 0.31574001908302307, 'original_random': 0.0, 'revised_random': 0.0}",Separ (0.359) |  return (0.252) | her (0.232) |  days (0.198) |  connection (0.174)
